Sunday, 21-07-18 21:55:03, 76.190, 76.190, 76.202, 44.675, 974.5697085466505, off, 0
Sunday, 21-07-18 21:55:13, 76.226, 76.226, 76.238, 44.638, 974.6003650831133, off, 0
Sunday, 21-07-18 21:55:18, 76.249, 76.249, 76.256, 44.644, 974.5323219457442, off, 0
Sunday, 21-07-18 21:55:30, 76.288, 76.288, 76.301, 44.619, 974.5150567907972, off, 0
Sunday, 21-07-18 21:55:42, 76.332, 76.332, 76.346, 44.566, 974.4977877788318, off, 0
Sunday, 21-07-18 21:55:56, 76.384, 76.384, 76.400, 44.864, 974.6549418970817, off, 0
Sunday, 21-07-18 21:56:09, 76.424, 76.424, 76.436, 44.660, 974.5466229212885, off, 0
Sunday, 21-07-18 21:56:15, 76.454, 76.454, 76.462, 44.589, 974.5696117459078, off, 0
Sunday, 21-07-18 21:56:25, 76.502, 76.502, 76.516, 44.519, 974.5044022578462, off, 0
Sunday, 21-07-18 21:56:34, 76.527, 76.527, 76.534, 44.476, 974.5475241149326, off, 0
Sunday, 21-07-18 21:56:43, 76.568, 76.568, 76.579, 44.411, 974.5302398762221, off, 0
Sunday, 21-07-18 21:56:50, 76.591, 76.591, 76.597, 44.412, 974.5455642456066, off, 0
Sunday, 21-07-18 21:57:03, 76.638, 76.638, 76.651, 44.427, 974.5637376476479, off, 0
Sunday, 21-07-18 21:57:12, 76.676, 76.676, 76.687, 44.395, 974.566585174012, off, 0
Sunday, 21-07-18 21:57:27, 76.756, 76.756, 76.777, 44.272, 974.5319927467763, off, 0
Sunday, 21-07-18 21:57:36, 76.794, 76.794, 76.804, 44.312, 974.5271728145127, off, 0
Sunday, 21-07-18 21:57:46, 76.837, 76.837, 76.848, 44.582, 974.5932842051715, off, 0
Sunday, 21-07-18 21:57:57, 76.882, 76.882, 76.893, 44.406, 974.5759795405403, off, 0
Sunday, 21-07-18 21:58:08, 76.956, 76.956, 76.974, 44.511, 974.5615063789896, off, 0
Sunday, 21-07-18 21:58:23, 77.050, 77.050, 77.073, 44.650, 974.5901544146468, off, 0
Sunday, 21-07-18 21:58:32, 77.141, 77.141, 77.163, 45.531, 974.527696265943, off, 0
Sunday, 21-07-18 21:58:42, 77.187, 77.187, 77.199, 45.277, 974.5861489248388, off, 0
Sunday, 21-07-18 21:58:54, 77.255, 77.255, 77.270, 44.483, 974.5083514270307, off, 0
Sunday, 21-07-18 21:58:59, 77.296, 77.296, 77.306, 44.384, 974.5668042688309, off, 0
Sunday, 21-07-18 21:59:07, 77.370, 77.370, 77.387, 45.176, 974.580102452897, off, 0
Sunday, 21-07-18 21:59:18, 77.464, 77.464, 77.486, 45.728, 974.6087123250825, off, 0
Sunday, 21-07-18 21:59:29, 77.533, 77.533, 77.549, 44.314, 974.5510353687205, off, 0
Sunday, 21-07-18 21:59:39, 77.560, 77.560, 77.567, 44.175, 974.5385288774612, off, 0
Sunday, 21-07-18 21:59:47, 77.595, 77.595, 77.602, 44.233, 974.6526327572032, off, 0
Sunday, 21-07-18 21:59:58, 77.609, 77.609, 77.611, 44.356, 974.5489952267639, off, 0
Sunday, 21-07-18 22:00:07, 77.618, 77.618, 77.620, 44.435, 974.5566531533634, off, 0
Sunday, 21-07-18 22:00:18, 77.650, 77.650, 77.656, 44.387, 974.5872851023961, off, 0
Sunday, 21-07-18 22:00:29, 77.700, 77.700, 77.710, 44.295, 974.6054072136097, off, 0
Sunday, 21-07-18 22:00:36, 77.731, 77.731, 77.737, 44.207, 974.6562084066002, off, 0
Sunday, 21-07-18 22:00:44, 77.758, 77.758, 77.764, 44.248, 974.5678717729818, off, 0
Sunday, 21-07-18 22:00:51, 77.785, 77.785, 77.791, 45.583, 974.5630156216823, off, 0
Sunday, 21-07-18 22:00:58, 77.820, 77.820, 77.827, 45.061, 974.565815461994, off, 0
Sunday, 21-07-18 22:01:06, 77.908, 77.908, 77.926, 46.908, 974.5943816220203, off, 0
Sunday, 21-07-18 22:01:23, 77.968, 77.968, 77.979, 45.315, 974.5289909829021, off, 0
Sunday, 21-07-18 22:01:36, 78.038, 78.038, 78.051, 45.620, 974.5345712891482, off, 0
Sunday, 21-07-18 22:01:45, 78.087, 78.087, 78.096, 45.840, 974.6285233379526, off, 0
Sunday, 21-07-18 22:01:56, 78.140, 78.140, 78.150, 44.621, 974.507438268533, off, 0
Sunday, 21-07-18 22:02:05, 78.194, 78.194, 78.204, 43.953, 974.5812090612235, off, 0
Sunday, 21-07-18 22:02:18, 78.248, 78.248, 78.258, 43.610, 974.5993032693566, off, 0
Sunday, 21-07-18 22:02:28, 78.271, 78.271, 78.276, 43.806, 974.5867739130756, off, 0
Sunday, 21-07-18 22:02:37, 78.321, 78.321, 78.330, 44.496, 974.577022912573, off, 0
Sunday, 21-07-18 22:02:44, 78.359, 78.359, 78.365, 44.163, 974.6076433925202, off, 0
Sunday, 21-07-18 22:02:55, 78.395, 78.395, 78.401, 43.919, 974.6104206027426, off, 0
Sunday, 21-07-18 22:03:05, 78.378, 78.378, 78.374, 43.627, 974.6431415645017, off, 0
Sunday, 21-07-18 22:03:18, 78.398, 78.398, 78.401, 44.914, 974.6382642578993, off, 0
Sunday, 21-07-18 22:03:29, 78.386, 78.386, 78.383, 44.784, 974.5115810914306, off, 0
Sunday, 21-07-18 22:03:33, 78.384, 78.384, 78.383, 44.399, 974.6229537770387, off, 0
Sunday, 21-07-18 22:03:44, 78.406, 78.406, 78.410, 44.311, 974.5902317882615, off, 0
Sunday, 21-07-18 22:03:54, 78.387, 78.387, 78.383, 43.913, 974.5672673959326, off, 0
Sunday, 21-07-18 22:04:08, 78.415, 78.415, 78.419, 43.937, 974.5978866338639, off, 0
Sunday, 21-07-18 22:04:18, 78.488, 78.488, 78.500, 45.254, 974.6110891075543, off, 0
Sunday, 21-07-18 22:04:30, 78.491, 78.491, 78.491, 45.287, 974.6312803732457, off, 0
Sunday, 21-07-18 22:04:37, 78.499, 78.499, 78.500, 45.969, 974.6389352079448, off, 0
Sunday, 21-07-18 22:04:50, 78.477, 78.477, 78.473, 44.934, 974.5602799595201, off, 0
